,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
168,2010 BMW 7 Series 730Ld Sedan,2010,Diesel,"69,000 Kms",2993 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 25 Lakh
169,2015 Toyota Fortuner 4X2 AT,2015,Petrol,"62,000 Kms",2694 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 23.40 Lakh
170,2014 Maruti Swift Dzire ZDI,2014,Diesel,"61,322 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.35 Lakh
171,2016 Maruti Ertiga VXI AT Petrol,2016,Petrol,"52,000 Kms",1462 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.50 Lakh
172,2020 Maruti Swift VXI,2020,Petrol,"28,449 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.30 Lakh
173,2014 Maruti Swift Dzire VDI,-,5 Seats,Second Owner,2014,Manual,None,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.90 Lakh
174,2012 Tata Manza Aqua Quadrajet BS IV,2012,Diesel,"1,37,433 Kms",1248 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.25 Lakh
175,2017 Hyundai Grand i10 Sportz,2017,Petrol,"36,558 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.79 Lakh
176,2018 Hyundai Grand i10 1.2 Kappa Asta,2018,Petrol,"13,858 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6 Lakh
177,2015 Ford Figo 1.2P Titanium MT,2015,Petrol,"71,466 Kms",1196 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.06 Lakh
178,2018 Renault KWID 1.0 RXT Optional,2018,Petrol,"15,104 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.90 Lakh
